q[Å⁻¹],dS/dO[cm⁻¹],stdev
0.125,0.020714541735205264,0.008835639182458343
0.144,0.02211151357083284,0.006745382763362641
0.163,0.02373264745171783,0.003975214169021786
0.182,0.025323888281477257,0.0032697799039534932
0.201,0.026704481677859694,0.0037326983013948037
0.220,0.027823494277694486,0.0033741317779633507
0.239,0.028764925276001985,0.0032198421473617566
0.258,0.029704090022898557,0.004229542653706223
0.277,0.030836176422704663,0.004948795371684362
0.296,0.03230659141605146,0.004477113641643071
0.315,0.03416913427762558,0.0033264797795314965
0.334,0.03638447047891089,0.0031937613983865566
0.353,0.038854018308466354,0.004082059153611135
0.372,0.041470497847414245,0.004402399196908767
0.391,0.04416138826827464,0.003963625902867122
0.410,0.046906751905061765,0.0038018793442398673
0.429,0.049725386196819515,0.0044248967632058685
0.448,0.052637358458730195,0.004755507221915114
0.467,0.0556207445925206,0.0040660752661514764
0.486,0.05858214992537283,0.0029119307239911596
0.505,0.061354233914353594,0.0031982685170245336
0.524,0.06372220675463046,0.004518141212016422
0.543,0.06547003465315088,0.005063469025394941
0.562,0.06643032195507705,0.004367661991060434
0.581,0.06652171795800098,0.0030804395405472623
0.600,0.06576350233408787,0.0029356228743707864
0.619,0.06426574446010028,0.003987872196627079
0.638,0.06220136889991169,0.004583514586183927
0.657,0.0597707535197318,0.004243236074346611
0.676,0.05716924686273101,0.003316510615868237
0.695,0.05456432665014511,0.002532204610644726
0.714,0.052084305468220585,0.00230092553122046
0.733,0.04981673381690954,0.0022279608763892088
0.752,0.04781310766440798,0.0020377476552044453
0.771,0.04609693312676175,0.001869814846314991
0.790,0.04467345662927481,0.0017418136940202849
0.809,0.04354015902738209,0.0015044322379933301
0.828,0.04269685113247143,0.0014006477745380972
0.847,0.04215329592715242,0.0018573706544739712
0.866,0.041931774592106306,0.0024712197418762434
0.885,0.04206287838629945,0.002769357214767973
0.904,0.04257521568102637,0.0026913355553219442
0.923,0.043482779082934936,0.0024915317702633877
0.942,0.04477583150464846,0.002380949239768525
0.961,0.046420889585152,0.002214179097754914
0.980,0.04837226216406353,0.0018334956552377361
0.999,0.05059262801488999,0.0015849555011691755
1.018,0.053075438321247906,0.0019630102242184934
1.037,0.05585984119188526,0.00246544773544867
1.056,0.05903073915337431,0.0025196109089924827
1.075,0.06270214346118425,0.0020739339920488563
1.094,0.0669890345210732,0.001656246582595636
1.113,0.07197837811128961,0.0019401650922561942
1.132,0.07771110097320683,0.0024424029180050767
1.151,0.08418272341433262,0.0025977753436244554
1.170,0.09136231995566421,0.002442998501528078
1.189,0.0992207714429685,0.0023593984050333952
1.208,0.10775371928656076,0.002518964515185529
1.227,0.11698500774413208,0.002685428252802771
1.246,0.12694312403482957,0.0027799522792924147
1.265,0.13761395401704057,0.003040974473024529
1.284,0.14888392296367592,0.0035269133532468185
1.303,0.16049391198080876,0.003927294094801854
